county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
36123,36,0.47826087,0.5663717,0.5045045,-0.061867177,-0.09578344,0.033916265,-0.13353139,-0.2876821,0.15415068,-0.017857617,-0.102415,0.08455739,0.115512885,-0.6000004,0.011996925,0.026871402,0.17672266,10.131778,4.3,0.5171316,23.128822
37001,37,0.42857143,0.567757,0.61790395,0.050146937,0.037606955,0.012539983,0.15238546,-0.4304664,0.5828519,0.06774599,-0.4946028,0.5623488,-0.05556985,-1.6999998,-0.018799365,0.0075574364,0.14664462,11.844464,6.0,0.49321303,31.914244
37003,37,0.4054054,0.7380952,0.59292036,-0.14517486,-0.08020049,-0.06497437,0.077558234,-0.90825856,0.9858168,0.29657102,-0.79323065,1.0898017,0.73759896,-2.1999998,-0.027967095,0.04712042,0.13121836,10.485312,5.4,0.5095289,24.022041
37005,37,0.28169015,0.5645161,0.8023256,0.23780948,0.022785485,0.215024,0.67875844,0.05556985,0.6231886,0.3272129,0.016000342,0.31121257,-0.46262354,-4.1000004,0.00032648444,-0.010169491,0.10532207,9.28619,5.5,0.4517056,22.52395
37007,37,0.31707317,0.63076925,0.7171717,0.086402476,-0.07521367,0.16161615,0.5491078,-0.31237468,0.8614825,0.4207326,-0.18540323,0.6061358,0.15415068,-1.6999998,-0.028511494,-0.030905077,0.12913692,10.188103,7.4,0.39729172,27.437843
37009,37,0.43925235,0.55421686,0.71794873,0.16373187,0.058028042,0.10570383,0.6021754,-0.427444,1.0296195,0.34333333,-0.52702034,0.87035364,-0.11441035,-2.7999997,-0.013579726,0.07308378,0.087669596,10.159601,5.7,0.49380758,24.00485
37011,37,0.52,0.56666666,0.59615386,0.029487193,-0.109039545,0.13852674,0.19530874,-0.6359888,0.8312975,0.14458123,-0.42227224,0.56685346,0.074107975,-1.6999998,0.016736776,0.12569316,0.1955705,9.795067,5.4,0.44363332,22.303215
37013,37,0.43816254,0.6315789,0.6167979,-0.014780998,0.040834844,-0.055615842,0.20209014,-0.20763937,0.4097295,0.22577168,-0.27029032,0.496062,0.26510775,-3.4000006,0.0071789026,0.051457975,0.13647489,10.737679,6.4,0.4385245,27.313313
37015,37,0.48091602,0.4966443,0.65648854,0.15984425,0.052806288,0.10703796,0.1502822,-0.3920421,0.5423243,-0.12874898,-0.49308679,0.3643378,-0.51082563,-1.6000004,0.027589053,0.047368422,-0.036473606,9.906334,7.1,0.43720397,20.412645
37017,37,0.3181818,0.6979167,0.76551723,0.06760055,-0.011169672,0.07877022,0.5048376,-0.16164134,0.66647893,0.41238555,-0.14550759,0.55789316,0.1590647,-3.2999997,-0.00328663,0.017857144,0.20731588,10.432173,7.4,0.45500088,25.514273
